#,Priority,GitHub Issue Title,User Story
1,Must Have,Search for Parks,"As a guest user, I want to search for parks by name, city, or zip code, so that I can find playgrounds in the area I want to visit."
2,Must Have,Filter Parks by Child-Friendly Criteria,"As a guest user, I want to filter park results by age group and equipment type, so that I can find playgrounds that match my child’s needs and interests."
3,Must Have,View Park Detail Page,"As a guest user, I want to view detailed park information, so that I can see location, age suitability, equipment, amenities, equipment status, and crowd information before visiting."
4,Must Have,"Register, Log In, and Log Out","As a user, I want to register, log in, and log out of my account, so that I can securely access features based on my role."
5,Must Have,Recover Forgotten Password,"As a user, I want to recover my password if I forget it, so that I can regain access to my account."
6,Must Have,Protect User Accounts and Passwords,"As a registered user, I want my account information and password to be protected, so that my personal login information remains secure."
7,Must Have,Support Role-Based Access,"As a Site Admin, I want users to have role-based access as Parent, Park Admin, or Site Admin, so that each user can only access the features appropriate to their role."
8,Must Have,Submit Crowd Level Report,"As a parent, I want to submit a crowd level report for a park, so that other families can know whether the playground is not busy, moderately busy, or very busy."
9,Must Have,Limit Duplicate Crowd Reports,"As a park visitor, I want crowd reports to be limited per user and park within a set time period, so that the displayed crowd information is more reliable."
10,Must Have,Submit Safety or Maintenance Report,"As a parent, I want to submit a safety or maintenance report with a category, description, and optional photo, so that park staff can be informed about hazards or broken equipment."
11,Must Have,Manage Safety Reports,"As a Park Admin, I want to view and update safety reports for my assigned parks, so that reported issues can be tracked from submission through resolution."
12,Must Have,Manage Equipment Status,"As a Park Admin, I want to update the open or maintenance status of specific park equipment, so that families know whether equipment is available before they visit."
13,Must Have,Create and Edit Park Records,"As a Site Admin, I want to create and edit park records, so that the application contains accurate park names, addresses, coordinates, equipment, and amenity information."
14,Must Have,Assign Park Admins to Parks,"As a Site Admin, I want to assign Park Admins to specific parks, so that the correct staff members can manage the parks they are responsible for."
15,Must Have,Moderate Content and Users,"As a Site Admin, I want to moderate user-submitted content and suspend abusive accounts, so that the platform remains safe, accurate, and family-friendly."
16,Must Have,Record Administrative Actions,"As an admin user, I want important administrative actions to be recorded, so that content deletion, account suspension, equipment updates, and safety report changes can be reviewed later."
17,Must Have,Display Search Results Efficiently,"As a park visitor, I want search results to load quickly, so that I can find park information without unnecessary delays."
18,Should Have,Submit Park Reviews and Ratings,"As a parent, I want to submit a star rating and written review for a park, so that I can share my experience with other families."
19,Should Have,Upload Park Photos,"As a parent, I want to upload photos to a park’s detail page, so that other families can see what the playground looks like before visiting."
20,Should Have,Save Favorite Parks,"As a parent, I want to save parks to a personalized favorites list, so that I can quickly return to parks I like or visit often."
21,Should Have,Manage User Profile,"As a registered user, I want to view and update my basic profile information, so that I can keep my account details current."
22,Should Have,Display Calculated Busy Level,"As a park visitor, I want to see a calculated current busy level based on recent crowd reports, so that I can better decide whether to visit a park now."
23,Should Have,Support Mobile-Friendly Use,"As a mobile user, I want the website to work well on a phone screen, so that I can search for parks and view details while away from a desktop computer."
24,Could Have,Show Crowd History and Map View,"As a park visitor, I want to view historical crowd trends and park locations on a map, so that I can choose a convenient park and less crowded time to visit."
25,Could Have,Track Safety Report Status and Notifications,"As a parent, I want to view my submitted safety reports and receive updates when their statuses change, so that I know when reported issues are being reviewed or resolved."
